ID,review,label
1,Jo bhi ap se tou behtar hoon,Negative
2,ya Allah meri sister Affia ki madad farma,Positive
3,Yeh khud chahta a is umar main shadi krna.  had ogi,Negative
4,Tc ? Apky mun xe exe alfax achy nae lgty 😒💃,Negative
5,Good,Positive
6,American president John f Kennedy aur in ke bhai Robert Kennedy se bhi Marilyn Monroe ke affairs ka charcha raha,Negative
7," Commission aur kickback ka dor Dora raha, quomi assase koriyon ke mol farokhat keye gaye",Negative
8,Allah pak nazer e bd sy bechye or humesha bohat tarkian dy Ameeen,Positive
9,"Amoman log samajhte hain ke jhok siyal hi Abid Ali ki pheli serial thi halan ke sach ye hai ke unhon ne sab se phele Saleem Chishtti le likhe howe kheel ""zanjeer"" mein adakari ki",Positive
10,Akki KhanYani k tum ....... v good Wesy tum shkll sy bhi khesiani billi kgti ho,Negative
11,Jail Road Pr Firing Se 1 Shaks Janbahaq Rpt M Ali Jokhio,Negative
12,hud hagai stupid actor hy.....acting ati he nahi isay.......@maham... kiya dakh liya app nay is mein..@sayra.... shaadi kr loo yar...,Negative
13,Haha thank you so much ,Positive
14,Pakistani cricket ki tareekh ka behtreen batsman all time grades mein kia numaya muqam ka hasiil aur Pakistan cricket ko kia naya chehra dene wale javed Miandad 12June 1957 ko  karachi mein paida huwe,Positive
15,Nawaz Sharif ko Pakro Harimi Police walo Tum logon ki Again Maa Me Land Marey Ye ADNAN,Negative
16,Kash MERI MAAN ZINDA HOTI...........,Positive
17,5 Billion Dollor se zaid akhrajat ka takhmina lagaya hai,Negative
18,Kisi larki kay sat selfie lana tum hay maut ki yad dilata hay ,Negative
19,NAMAZ E ZUHAR Hamari Aamdani Mein Izafa Karti Hein ,Positive
20,Wasy ma sporting lahore ki team ko kr raha tha lakin #Admin sb kisi py Lanat ni krni Cahiya.... ,Negative
21,Duoan main yad rakhay ga,Positive
22,Hum sab ko milkar Pakistan aur islami aqdaar ki hifazat Karni hay musalmaan hony ka farz ada krein,Positive
23,Dar asal in k parents bhi nachney ganey waley he hongay warna shareef log apni izat ka tamasha nah lagatey,Negative
24,Mujhay tou dusri dafa sacha pyaar ho gaya hai,Positive
25,aur mein nai 😂,Negative
26,Hazrat Sahab Dua ke darkast ha.,Positive
27,"In ke jaise shohar bano, in ke jaise sabiq shohar bano, in ke jaise bhai bano aur in ke jaise bete bano.",Positive
28," Hamare intellectual ise aik sub standard mawad gardantey hai, lekin un mein se koi bhi Ibn-e-Safi ke takhleeqi zehan ka muqabla nahi kar sakta",Positive
29,Tab aik sadabahar geet ne janam liya,Positive
30,"Aye Logo, Apni Aurto KoSingarwala Libas Pahenkar Gair Mahramo Ke Samne Nikalne Se Mana Karo.",Negative
31,"Kya bt hai,",Positive
32,Wo ashaar ke ilawa lafzon aur jumlon ko bhi is qadar pur kashish bana dete hain ke audience mashoor hue jate hain,Positive
33,Hahahah,Positive
34,Aa na zara!! Judge karte he kuch logo ko 😂,Negative
35,Jab Last Smester Main Arrays Parhae Thyn. Sir Told Us To Write Down These Golden Lines... :D,Positive
36,"Aap ko sakht sadma howa aur kai roz tak aap dil girifta rahe.apni waldah ki wafat ke hawale se Iqbal ne maha 
raja Parshad ko tehrir kiya:

鄭h! Isnan apni kazori ko chupane mein kis qadar taq hai. ",Positive
37,Bht acha hai,Positive
38,Ustad Bare Ghulam Ali Khan ne mosiqi ke tamam raz Master Inayat Hussain par wa kar deye aur un ki khososi tawajah ne Master Inayat Hussain mein ese roshni paida ki jis ka izhar unhon ne apni filmi mosiqi mein is tarah kiya ke un ke banaye howae geet amar ho gaye aur aaj bhi sune walon ke kanon mein ras gholte hain,Positive
39,Maza ata hy,Positive
40,Pehlay Pagal Kiya Aur Phir Mujhay Pathar Maaray ,Negative
41,Wo lrki kitni buri lg rhi he na red dress me😂😂😂,Negative
42,Jis ka aik song is qadar maqbool hua tha ke is ke bolon ki bazagisht aaj bhi suni ja sakti hai,Positive
43,Wesay to Pemra ko srif PTI hi nazer ati hai baqi jo merzi kro.,Negative
44," PM k sath her waqt military sectory hota hai jiska rank Lft.hota hai sath ssg commandos hotay hain,yeh kia bakwas ker rahi hai,,our PM business class main nahi First class main travel kerta hai...sasti shuhrat k liay",Negative
45,Inho ne hukomat e Pakistan se tamgha e imtiaz hasil karne ke sath Malika British se life time achievement award bhi hasil kiya hai,Positive
46,Is tarikhi waqeye ne khawateen ki duniya badal di,Positive
47,      Wo muqaddar ka sikander… Janemann kehlaega…,Positive
48,Ban karo haram khor ko,Negative
49,Mere liye wo yadgaar lamhaat the aur us film ko kabhi nahi bhula sakta,Positive
50,yehi youth hi tou PTI ki taqat hy.,Positive
51,Lakhtee LAANAT ZOOG,Negative
52,Log Gariyaan Band Ker K Be Bus Kharay Hein ,Negative
53,Kabhi jao kpk pata chal jayega,Negative
54,Hmari halat next lvl buri thi,Negative
55,Un ki dardmandi ka andaza is baat se lagaya ja sakta hai ke dehshat gardi ke waqeyat aur mukhtalif hadsat mein halak hone walon ke bkhire aza ko mutadid martaba unhon ne apne hathon se yakja kiya.,Positive
56,haan haan chor kabhi khud ko chor kehta ha..xD,Negative
57,Ye bik gaye hay auntie ,Negative
58,new episode nhi arhi q ? :(,Negative
59,Rana sahb ko mashwra hai is team ko baech kar maronda le lain....mun to mitha kary ga kam se kam,Negative
60,Allah App ko app ke naslo ko apny khazano say nawazay,Positive
61,Aisee h hai Allah Paak ki rehmat.........infinite,Positive
62,...m tuje intahi kutti post p mention krny lgti ..pr pta ni galt btton q db jaty hn.,Negative
63,"ap sab in sha ALLAH duaon main shamil hain,,",Positive
64,o bhai tumhri post par gandi link dt hai kisi ny ude delete kro,Negative
65,Hahaha mere choty veer in baton ka hi ma uper zikar kar raha hon.,Positive
66,Kia horaha hai es mulq ka afsos,Negative
67,lol is page waly ki DP dekh or bat kia karaha yeh ,Positive
68,1994 mein wo senate Peters Burg ke deputy mayor ban gae.,Positive
69,Isi kamiyabi se mutassir ho kar Steven Spielberg ne film Close Encounter banai  jis ne box office par acha business kiya,Positive
70,Ubqari k adwiyaat khany se mil jaye ga anmool khazana,Positive
71,Is me ihtijaj ki kia baat he. Ye Islami Mulk he Yahan par baghair kisi Ihtijaji k aise programe ki ijazat kis ne di he.,Negative
72,Aapsay baat karne ka koi faidaa nahe. You win.,Negative
73,Achi heat hai,Positive
74,Larki Ne Vote Ki Bajaye CNIC Box Mein Dal Dia ,Negative
75,Ap Sb Ki Shirkat Ka Shukrya ,Positive
76,Jnb ap writen likh sakty han ap Authority wise Afsar han showcase letter jari kar datay Allah pak Ny ap ko Izat di h or ak Acha Rutba dia h but apny Mulazim ki kisi k Samny Insert karna Galat h,Negative
77,national games aur national championship jese muqablon tak mein saholaton ka mayar intehai kharab hai,Negative
78, In ke walid ne is ki naqool apne doston mein taqseem ki aur aik copy nizaam Hyderabad ko bhi bheji,Positive
